FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,len,subdomain,longest_word,sld,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Fwd Packets/s,Bwd Packets/s,Fwd IAT Mean,Bwd IAT Mean,Flow IAT Mean,Flow Packets/s,Flow Bytes/s
15,0,0,14,0,3.1195489589943928,1,2,11,7.0,12,0,2327,4191,47981,1,1,96.0,178.0,96.0,178.0,20.84158313,20.84158313,0.0,0.0,47981.0,41.68316625,5710.593777
27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,14,1,2,38,158,2,2,80.0,112.0,40.0,56.0,12658.22785,12658.22785,4.0,3.0,52.66666667,25316.4557,1215189.873
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,119612,2,2,68.0,280.0,34.0,140.0,16.72073036,16.72073036,4.0,3.0,39870.66667,33.44146072,2909.407083
26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,38,26337,150,0,65424.0,0.0,436.16,0.0,5695.4094999430445,0.0,176.75838926174495,0.0,176.75838926174495,5695.409499943045,2484109.807495159
13,0,0,11,0,2.589735285398626,2,2,9,6.0,10,0,816,1630,8973061,10,2,460.0,92.0,46.0,46.0,1.114446898,0.22288938,849257.7778,3.0,815732.8182,1.337336278,61.51746879
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,24834,150,0,65424.0,0.0,436.16,0.0,6040.1063058709815,0.0,166.6711409395973,0.0,166.6711409395973,6040.106305870982,2634452.766368688
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,30381,200,0,88000.0,0.0,440.0,0.0,6583.061782034824,0.0,152.6683417085427,0.0,152.6683417085427,6583.061782034824,2896547.184095323
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,49478,2,2,68.0,230.0,34.0,115.0,40.42200574,40.42200574,1.0,48.0,16492.66667,80.84401148,6022.878855
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,173865,1,1,56.0,122.0,56.0,122.0,5.751588876,5.751588876,0.0,0.0,173865.0,11.50317775,1023.78282
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,31029,2,2,64.0,204.0,32.0,102.0,64.45583164,64.45583164,3.0,3.0,10343.0,128.9116633,8637.08144
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,30558,1,1,55.0,111.0,55.0,111.0,32.72465475,32.72465475,0.0,0.0,30558.0,65.44930951,5432.292689
2,0,2,0,0,1.0566416671474377,0,1,2,2.0,3,0,11,150,48487,2,2,82.0,196.0,41.0,98.0,41.24816961,41.24816961,2.0,3.0,16162.33333,82.49633922,5733.495576
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,61123,2,2,68.0,428.0,34.0,214.0,32.72090702,32.72090702,4.0,4.0,20374.33333,65.44181405,8114.784942
10,0,0,8,0,1.5,2,3,3,2.6666666666666665,4,0,3417,6021,32834,200,0,87280.0,0.0,436.4,0.0,6091.2468782359765,0.0,164.9949748743719,0.0,164.9949748743719,6091.246878235976,2658220.13766218
11,0,0,9,0,2.375,2,2,7,5.0,8,0,790,1597,443,1,1,79.0,145.0,79.0,145.0,2257.336343,2257.336343,0.0,0.0,443.0,4514.672686,505643.3409
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,48734,2,2,86.0,194.0,43.0,97.0,41.03911027,41.03911027,4.0,47.0,16244.66667,82.07822054,5745.475438
15,0,0,14,0,3.1195489589943928,1,2,11,7.0,12,0,5638,6635,23885,2,2,64.0,96.0,32.0,48.0,83.73456144,83.73456144,3.0,48.0,7961.666667,167.4691229,6698.764915
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,10,2,0,2944.0,0.0,1472.0,0.0,200000.0,0.0,10.0,0.0,10.0,200000.0,294400000.0
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,341953,150,0,65424.0,0.0,436.16,0.0,438.65677446900594,0.0,2294.986577181207,0.0,2294.986577181207,438.65677446900594,191324.53875240168
27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,14,1,2,38,158,2,2,70.0,102.0,35.0,51.0,12658.22785,12658.22785,4.0,4.0,52.66666667,25316.4557,1088607.595
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,24029,2,2,84.0,284.0,42.0,142.0,83.23276041,83.23276041,50.0,3.0,8009.666667,166.4655208,15314.82792
25,8,0,10,9,2.556641667147437,6,6,7,3.333333333333333,12,1,2,38,343288,4,2,132.0,212.0,33.0,106.0,11.65202396,5.826011978,32847.66667,48.0,68657.6,17.47803593,1002.07406
25,8,0,10,9,2.556641667147437,6,6,7,3.333333333333333,12,1,2,38,30792,4,2,132.0,326.0,33.0,163.0,129.9038711,64.95193557,10092.33333,4.0,6158.4,194.8558067,14873.99324
12,0,0,11,0,2.595488890170944,1,2,8,5.5,9,0,1026,1898,199,2,2,82.0,338.0,41.0,169.0,10050.25126,10050.25126,3.0,3.0,66.33333333,20100.50251,2110552.764
23,3,0,21,0,3.208048433560928,2,3,15,7.0,19,1,2770,666,340046,2,2,64.0,180.0,32.0,90.0,5.881557201,5.881557201,3.0,3.0,113348.6667,11.7631144,717.5499785
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,276,2,2,122.0,154.0,61.0,77.0,7246.376812,7246.376812,48.0,48.0,92.0,14492.75362,1000000.0
25,8,0,10,9,2.78621562566106,6,6,7,3.333333333333333,12,1,2,38,61082,2,2,90.0,218.0,45.0,109.0,32.74287024,32.74287024,49.0,4.0,20360.66667,65.48574048,5042.402017
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,40,2,0,762.0,0.0,381.0,0.0,49999.99999999999,0.0,40.0,0.0,40.0,49999.99999999999,19050000.0
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,46,2,0,1284.0,0.0,642.0,0.0,43478.260869565216,0.0,46.0,0.0,46.0,43478.260869565216,27913043.47826087
26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,38,61111,1,1,43.0,152.0,43.0,152.0,16.36366612,16.36366612,0.0,0.0,61111.0,32.72733223,3190.914893
21,3,0,19,0,2.9346841444516767,2,3,13,6.333333333333333,17,1,2107,9325,34482,200,0,88000.0,0.0,440.0,0.0,5800.127602807262,0.0,173.2763819095478,0.0,173.2763819095478,5800.127602807262,2552056.145235196
27,10,0,10,11,2.767194748898957,6,6,7,3.6666666666666665,14,1,2,38,30834,2,2,76.0,172.0,38.0,86.0,64.86346241,64.86346241,4.0,1.0,10278.0,129.7269248,8043.069339
26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,38,31174,2,2,68.0,100.0,34.0,50.0,64.15602746,64.15602746,48.0,4.0,10391.33333,128.3120549,5389.106307
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,33678,200,0,87280.0,0.0,436.4,0.0,5938.594928439929,0.0,169.23618090452257,0.0,169.23618090452257,5938.59492843993,2591602.8267711857
13,0,0,12,0,1.8575424759098893,1,2,8,6.0,5,0,4336,7646,229,2,0,2760.0,0.0,1380.0,0.0,8733.624454148472,0.0,229.0,0.0,229.0,8733.624454148472,12052401.74672489
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,222,2,2,82.0,254.0,41.0,127.0,9009.009009,9009.009009,3.0,48.0,74.0,18018.01802,1513513.514
26,9,0,10,10,2.742337624271511,6,6,7,3.5,13,1,2,38,194491,2,2,86.0,158.0,43.0,79.0,10.28325218,10.28325218,12.0,3.0,64830.33333,20.56650436,1254.556766
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,49973,1,1,46.0,110.0,46.0,110.0,20.01080584,20.01080584,0.0,0.0,49973.0,40.02161167,3121.68571
12,0,0,11,0,2.989735285398626,1,2,9,5.5,10,0,3204,2458,194,2,2,64.0,158.0,32.0,79.0,10309.27835,10309.27835,1.0,2.0,64.66666667,20618.5567,1144329.897
17,0,0,15,0,3.3925438561963475,2,2,13,8.0,14,0,5542,2942,23554,1,1,56.0,120.0,56.0,120.0,42.45563386,42.45563386,0.0,0.0,23554.0,84.91126773,7472.19156
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,76342,4,2,176.0,120.0,44.0,60.0,52.39579786,26.19789893,20457.33333,3.0,15268.4,78.59369679,3877.289041
14,3,0,12,0,2.5308571531099555,2,3,7,4.0,11,1,553,1194,2,2,0,2102.0,0.0,1051.0,0.0,1000000.0,0.0,2.0,0.0,2.0,1000000.0,1051000000.0
28,11,0,10,12,2.2057885242721635,6,6,7,3.8333333333333335,15,1,9,64,30948,200,0,88000.0,0.0,440.0,0.0,6462.453147214683,0.0,155.5175879396985,0.0,155.5175879396985,6462.453147214683,2843479.3847744605
12,0,0,11,0,2.289390278819448,1,2,8,5.5,9,0,5743,10053,324,2,2,66.0,316.0,33.0,158.0,6172.839506,6172.839506,4.0,3.0,108.0,12345.67901,1179012.346
11,0,0,10,0,2.595488890170944,1,2,8,5.0,9,0,1397,3535,74640,1,1,55.0,241.0,55.0,241.0,13.39764202,13.39764202,0.0,0.0,74640.0,26.79528403,3965.702036
27,10,0,10,11,2.5704170701729945,6,6,7,3.6666666666666665,14,1,2,38,977,6,0,8832.0,0.0,1472.0,0.0,6141.248720573183,0.0,195.4,0.0,195.4,6141.248720573183,9039918.116683723
24,7,0,10,8,2.054028744215725,6,6,7,3.1666666666666665,11,1,4,62,61352,4,2,208.0,230.0,52.0,115.0,65.19754857,32.59877429,18977.0,3.0,12270.4,97.79632286,7139.131569
